TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,Urban_rural_code,R_birth_2018,R_death_2018,POVALL_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),anycondition_number,Heart disease_number,COPD_number,diabetes_number,CKD_number,Obesity_number
55601,6787,7637,6878,7089,7582,7738,5826,4050,2014,42660,10915,267,681,62,1016,3,11.8,9.6,7587,59338,25015,942,119.0,217.1,196.7,1.148905321,20181,3345,3644,5462,1326,15193
218022,24757,26913,23579,25213,27338,29986,29932,20936,9368,190301,19492,1684,2508,146,3891,4,10.5,10.3,21069,57588,90456,3393,115.5,217.1,196.7,4.505074295,68790,13414,14692,20520,5479,50761
24881,2732,2960,3268,3201,3074,3278,3076,2244,1048,12209,12042,164,113,46,307,6,10.4,12.9,6788,34382,7940,433,68.9,217.1,196.7,0.514125884,11325,2159,2373,3870,887,8013
22400,2456,2596,3029,3113,3038,3115,2545,1723,785,17211,4770,98,53,26,242,2,11.1,11.4,4400,46064,8317,344,92.3,217.1,196.7,0.462860006,9190,1533,1789,2511,595,6894
57840,7095,7570,6742,6884,7474,7844,6965,4931,2335,55456,950,378,185,70,801,2,11.8,11.4,7527,50412,24128,878,101.1,217.1,196.7,1.195170658,20584,4101,4661,6017,1507,15112
10138,1198,1130,1395,1446,1274,1356,1219,703,417,2661,7168,85,19,76,129,6,11.3,11.8,3610,29267,4552,224,58.7,217.1,196.7,0.209485479,4853,804,873,1651,360,3664
19680,2351,2461,2286,2337,2318,2491,2683,1660,1093,10283,8839,74,259,10,215,6,11.2,12.1,4731,37365,8487,427,74.9,217.1,196.7,0.406655577,8891,1588,1741,2841,662,6304
114277,13141,14637,15463,13865,13727,15325,14641,8979,4499,86026,24153,617,1102,126,2253,4,11.3,13.1,21719,45400,43833,2139,91.0,217.1,196.7,2.361350576,48041,8146,9158,13182,3204,36639
33615,3869,3812,4380,3734,4078,4761,4492,2972,1517,19182,13446,103,446,15,423,5,10.6,13.7,6181,39917,14679,597,80.0,217.1,196.7,0.69459996,14836,2618,2870,4664,1068,10410
26032,2554,2981,2852,2504,3204,3873,3946,2835,1283,24217,1109,172,88,8,438,6,8.4,13.1,4180,42132,11207,415,84.5,217.1,196.7,0.53790945,11769,2282,2540,3353,814,8227
44153,5652,5818,5566,5233,5655,5932,5359,3334,1604,38459,4579,250,215,77,573,2,11.9,11.5,7542,47547,18773,703,95.3,217.1,196.7,0.912350796,18925,3181,3672,5115,1185,13599
12841,1324,1489,1402,1289,1478,1947,1824,1371,717,7343,5355,24,23,0,96,6,10.4,13.7,2806,39907,4434,260,80.0,217.1,196.7,0.265338631,5876,1135,1212,1976,464,4408
23920,2704,3045,2911,2557,2871,3419,2996,2220,1197,12781,10674,126,104,5,230,6,11.1,12.8,5381,40741,7057,570,81.7,217.1,196.7,0.494268363,10741,2003,2161,3575,811,7584
13275,1420,1564,1543,1455,1604,1991,1799,1214,685,11046,1868,72,32,0,257,6,9.6,13.3,2285,39201,5730,233,78.6,217.1,196.7,0.274306544,5575,1117,1287,1732,418,3801
14987,1829,1905,1687,1665,1930,2113,1851,1358,649,14234,441,74,33,11,194,6,11.2,13.2,2356,46495,5499,244,93.2,217.1,196.7,0.309682273,5959,1146,1332,1665,416,4294
51909,6605,6828,6312,6586,6896,6662,5958,3963,2099,39368,9192,732,849,206,1562,5,12.6,10.4,7053,55122,19995,822,110.5,217.1,196.7,1.072616074,20571,3258,3564,5596,1302,14266
54762,6248,6318,6811,6424,6666,7508,7290,4847,2650,44138,8875,363,323,41,1022,4,11.2,12.5,7459,49055,22184,1074,98.3,217.1,196.7,1.131568734,23618,4065,4484,6429,1542,16489
12277,1367,1434,1410,1260,1335,1754,1726,1308,683,6339,5680,63,26,4,165,6,10.2,14.8,2979,32613,4259,235,65.4,217.1,196.7,0.253684477,5764,1139,1239,1994,464,4202
10715,928,1023,1165,1028,1379,1750,1746,1137,559,7167,3309,64,15,18,142,5,8.4,11.4,1973,42423,4193,183,85.0,217.1,196.7,0.221408257,5115,997,1075,1662,385,3665
